"Start date","Start station number","End station number","Bike model","Total duration (m)","Start time","start_coordinates","end_coordinates"
"20250131",1142,988,"CLASSIC",36,"2359","51.5034938,-0.07962099","51.51772703,-0.127854211"
"20250131",1142,988,"CLASSIC",36,"2359","51.5034938,-0.07962099","51.51772703,-0.127854211"
"20250131",300061,300024,"CLASSIC",20,"2359","51.495598,-0.078893","51.53658514,-0.075885686"
"20250131",300058,300076,"CLASSIC",4,"2359","51.48512191,-0.174971902","51.4795738,-0.17903854"
"20250201",300038,300037,"CLASSIC",12,"0000","51.48724429,-0.205279052","51.49422354,-0.236769936"
"20250131",1201,200002,"PBSC_EBIKE",21,"2359","51.51444134,-0.087587447","51.515975,-0.053177"
"20250131",200012,1031,"CLASSIC",11,"2358","51.521889,-0.04667","51.507131,-0.06691"
"20250131",200182,1016,"PBSC_EBIKE",17,"2358","51.48373225,-0.223852256","51.513735,-0.193487"
"20250131",2587,2679,"PBSC_EBIKE",8,"2358","51.51615461,-0.082422399","51.498585,-0.068981764"
"20250131",300012,300052,"CLASSIC",2,"2357","51.4737636,-0.197010096","51.475089,-0.201968"
